hand,S,H,D,C,HCP,opening
JC KH 3S AC 8D 7S 5D QS 8H 3C 5S TD AH,4,3,3,3,14,1C
2S 9D JC 3H 5D QH AH KC 8D JS 4H KS TS,4,4,3,2,14,1C
AS 3D KH 4H 7H 6S 2H TD 3C JD 4D 6C 9D,2,4,5,2,8,PASS
KH 9H 4D AD 3S 8C 4H AS KC 5C 5H TC TD,2,4,3,4,14,1C
9D 8C TS 8H AH 7S QC TD 2D 5C TC 3D 3H,2,3,4,4,6,PASS
7S 8D JH QD 4D JS KC 8C 2C AC 4S 4C TH,3,2,3,5,11,PASS
AS JS TD QC 8S QH 2H 9H 8D KS 3C 6D QS,5,3,3,2,14,1S
7D 7H AS 7C JH 4H TH 4S QD 3D 2H 5S 2C,3,5,3,2,7,PASS
QC 3S 7D AS 3D JH 8S 2D 9D 5C TD 4H 9S,4,2,5,2,7,PASS
2H KD 2D 8D 6S QS TH 7S 6D 8S 4C 9C 4S,5,2,4,2,5,PASS
AD QH 6C KH 9H KC AC QD 5H JH 8D KD 9D,0,5,5,3,22,1C
8S 6D 4H 3H 4S 3C TD 6S 7S 3D TH JD 6C,4,3,4,2,1,PASS
4D JC KC 4S 8D TC 5D 8H 6D KH 2S KD 2H,2,3,5,3,10,PASS
4S 5C 7C 9S KH JS 6D AC AH 2D 5D KC KS,4,2,3,4,18,1C
KS 3D 2C 2S TS QC AH AC AS 7H TC 9C 9H,4,3,1,5,17,1C
JH 5H JD 2H TD 7D 3S 6H 9D KH 4H AH 4S,2,7,4,0,9,1H
5D 4C 6S KH KD QD 8D 4S 9D TH 6D 4H 5H,2,4,6,1,8,PASS
2C 2H JH 5S KC 4D KD 3H 7H 2S JC 5D 6D,2,4,4,3,8,PASS
5S 7D 2C AH 7C 3S KD TH 8S 9C 8C 4C AD,3,2,3,5,11,PASS
AC 9C 4C JS 9S 8D TS 2C 3H 6H TH 5H 5S,4,4,1,4,5,PASS
9S KD JD JC 2H 7D 8C AH 3H QC TH 8H 5C,1,5,3,4,11,1H
7S 5S 3D QC TH KS JC AH 3S JD QS 8S 7H,6,3,2,2,13,1S
JS 9S AS AC 8S 6H KS 6D 3D 5D 2C 8C JC,5,1,3,4,13,1S
4S 5D 8D 4D TS 3C TC 6H 9D 2D 4C AS AH,3,2,5,3,8,PASS
3C KD 7C 4C TH JH QH TD TC AS JC 6S KC,2,3,2,6,14,1C
4C JD 7D 9C QS 5S 8H 5H AD JS AS 3H 2C,4,3,3,3,12,1C
KS 4D AS 3S QD 8C 7H 9H JC KH TD JS JD,4,3,4,2,15,1NT
7H QS AC 8D 3D 6C 8H 2S JD 8S 5C 7D TS,4,2,4,3,7,PASS
QD 4C 8S QC 5D 9S TH 3D 6D 9D 7H AC TD,2,2,6,3,8,PASS
7C AD 4H 6S KC 5D TH 8H QD 3C JD 8D 8C,1,3,5,4,10,PASS
2C KD AC 3S 9D 6H JH AS TC 5D TD 8S 6D,3,2,5,3,12,1D
2S JC 5H JD AH QH 9D 2D QC QS 4C 3H 4H,2,5,3,3,12,1H
5H 4D 2S 2C 5C 3D QD 3H TC TH 9D AD QH,1,4,5,3,8,PASS
2D 3H 2H 8S 8C 5S 9S 6H AS 4S 7D QC JC,5,3,2,3,7,PASS
6S KH 8D 5S 8C 4D 4H 9H AS 4S 9D 5H 3D,4,4,4,1,7,PASS
TH 3C AH 2H 7D KC TC 6H KH JD 3S 2S 4D,2,5,3,3,11,PASS
JH QC 7C KD 9H 9D 6D QH AD 4D 9C 2H 7H,0,5,5,3,12,1H
9C 3D 7C 7D 3C JD QH TD 5C 9S JH 6H KD,1,3,5,4,7,PASS
QS TH KD 6D 4C QD 7S 4S AD 4H 3S 8H 3C,4,3,4,2,11,PASS
7C 2S 9D AC 5D JC 9H JD 6S AS JH 8H 4S,4,3,3,3,11,PASS
9S 8H 8C KC QC 2D 6C 4D 4H TH QD 5C 2H,1,4,3,5,7,PASS
KH 4S 8D AD 3S 9H KC 8H 8C 7S 2S JD 4H,4,4,3,2,11,PASS
5C 4S AS AC 7H JH KC 6C 8D QD 2D TH 3C,2,3,3,5,14,1C
5S 5C TC 3D 7H 5D 6C 8D 6D KC 2H QS 3C,2,2,4,5,5,PASS
5S 8C AH 8H 7D 4C JD 3D 9D QD 2H KH KD,1,4,6,2,13,1D
9D 8S 8H TD 5S 9H AH 9S 7C 3S KS KH 4S,6,4,2,1,10,1S
7C AH 5C JS AC 4S TH 8S 2C 9H 6S TS JD,5,3,1,4,10,PASS
KD 3H QD 6D 3S 5D 3C 2C TS TD 4S TH KC,3,2,5,3,8,PASS
KD QS 6S AH KS 2H 3C 3H 7S JS 9D 4S 3D,6,3,3,1,13,1S
2S 2C 6D AC AS 4D 8C QH 9S 3H 5C 2D 4S,4,2,3,4,10,PASS
QH 2D TD 5C TC 3H 3S 5S 7D JH 9H 6D 6H,2,5,4,2,3,PASS
9S AC 4S 4H 7C 3C 2S 6H QH 9D KC KH KD,3,4,2,4,15,1NT
QH 7H 5C 4S 8H 9H KD QS 2D 4C QC KH QD,2,5,3,3,14,1H
7C 4H 9D 5C 3H 2H 9H KS 6C QC 4C JD 7H,1,5,2,5,6,PASS
9C QC QH 7S 4S JS 3S 9D TC 7H TD 4H 8D,4,3,3,3,5,PASS
4S TD 2H TC 3C 6S 7S 8S 4C 9C JC JH 9H,4,3,1,5,2,PASS
6D TH 4C 4H 2S JH 5H KC 7D 8D QC 3C TD,1,4,4,4,6,PASS
5C 6D 9D 9C AC 7S TS 3D 2C 7H 3C AH 5H,2,3,3,5,8,PASS
AH TH 2D JC 6S AD TS 4H QD 6D 4C AS 2C,3,3,4,3,15,1NT
8S AC QD 5C 3D 3S KC KH 4H KD TD AH 2H,2,4,4,3,19,1C
JC 8D 3S 8C TC 2D 7H 6D 2C 4C 9H KD 3D,1,2,5,5,4,PASS
KS AS JS TC 6H 4S AC QH 5S 4C KD 2D 3H,5,3,2,3,17,1S
2C 2H 9D 9S AS KS AC 7H JD 8H 6C TH KD,3,4,3,3,15,1NT
7H 5C 3H TH 3D KS 2H JC 8H AH 2C 3S 4C,2,6,1,4,8,2D
QS AC AH TD 4S 6D 5C QD QH 3D 5S 2D 4H,3,3,5,2,14,1D
9H 4D TH 7H 6D AH TS 3S 8D AC 5H 4H 4C,2,6,3,2,8,2D
3C 9D 5H 4D 4S 3H QD KD 8S 4H QS JC QH,3,4,4,2,10,PASS
TD QC QD 5D 9C TC 3H 2D 7D 5C 7S 5H TS,2,2,5,4,4,PASS
8H QH KD QS 8D 2C 6S 6H AS KC 5S 7S 2H,5,4,2,2,14,1S
AD 6S 9H QS JS AS 7C 4C JH 2H AH 8D JD,4,4,3,2,17,1NT
JD KS 2C 3S 7H 8H 6H 8D 6D TC TH KD 8S,3,4,4,2,7,PASS
6D JS 7D 9H 9D QS JD 2D 2S 8D 4H KH 3C,3,3,6,1,7,PASS
KH 9S 5H AH 7C 2S AD 9D JD 4S 5D 6H 4D,3,4,5,1,12,1D
6D JC 2C 2H KH AS 3H 4D 2D 8S KC TH JS,3,4,3,3,12,1C
TS 5D 3C TD 7C AS KC 6S 8S QD 9S AH 4C,5,1,3,4,13,1S
7C JH KS 3S 9S KD 6C 2H 8D TH 9H TS 5H,4,5,2,2,7,2C
5C KS 7D 3D 5D 3C 7C 4H QD TC JD JC KD,1,1,6,5,10,1D
JH 3C 2H AC TD 9D 8H AD 3D 4H 5H 2C 5C,0,5,4,4,9,PASS
9H KS 5S QS 8H 4D QD TD 7S 5C KC JS 8D,5,2,4,2,11,1S
TS 8S KS KH AH 3H 5C 9C 9H 7C 2C QD 4C,3,4,1,5,12,1C
AC JC 9C 4C 9D 9H JH 7S 3S 9S 3C TC KH,3,3,1,6,9,PASS
6D QD 4S 4D KH QH TC 7H 7C KS AH 9D 3D,2,4,5,2,14,1D
AH 9D 6S KH TD 8C 2C 3H 3D 4C 6H AC 7C,1,4,3,5,11,1C
4H TD 4C JS AH QC KS QD 5H 6H 9S AD 6C,3,4,3,3,16,1NT
QD 5H QC 5C 7S 5S JC 9H QS 4C AD JS 3D,4,2,3,4,12,1C
7S 9C 5S 2H JS 4D 2C TC 5H KS 6C 8H AH,4,4,1,4,8,PASS
QS 6C 5C QH 5H TH JS 8D 3C KH KS AC JC,3,4,1,5,16,1C
9C 6C AC AD 2D 9D JS 4S 3S 5D AS 9H 6S,5,1,4,3,13,1S
6D QS QH KH 4H 2H 3C 6H JD QC 5D 4S 8D,2,5,4,2,10,PASS
5H 7D AD 5S 8H 4D JC JH 9H 2C 3C KS 8D,2,4,4,3,9,PASS
AH AS KS 2D 6H KD 6D 6C 2S 3D 5H 4H 2C,3,4,4,2,14,1D
AH 7S KC 4S 3H 8D TH TS 5S 9H AC TD 7D,4,4,3,2,11,PASS
6C 3C 9S 4C KC 8C KD KS 4H JC 2H JH 8D,2,3,2,6,11,1C
JC KD 2S 4H AC TS 7C QC 5S JS 9C 8C KC,4,1,1,7,14,1C
9C 5C AC 6S QD JC 5S 4S TH TD 8S KS 4D,5,1,3,4,10,PASS
8D 5H KS KD 2D 9S 9D JH 3C 3H 5D QH 4S,3,4,5,1,9,PASS
7C 4D AS 3C AC TD TS 4S TC AH 4H 3S JH,4,3,2,4,13,1C
AS 2C 4D 8C QH QS TC 3H JC 5S KH JH 3C,3,4,1,5,13,1C
4D QS KC JC KD 9H 2D 9C 4C AC 7C AH 3S,2,2,3,6,17,1C
TH 5D 7C 8H 7D 3S 5S 9C KH 8C 9D 7S 3H,3,4,3,3,3,PASS
6S 3S TS QD 5S AC 3D 9D 2D KD AH 6C KH,4,2,5,2,16,1D
8S KC 8D 9S QH JC 9D 4D 5S 3H TC 5C 3S,4,2,3,4,6,PASS
5D JC 5H 8S JD KS 2C AH 8H 7C 6D QH 3C,2,4,3,4,11,PASS
KD 7H 9S 2S JD TH QH 6H 6S 3D 7D 4S 2D,4,4,5,0,6,PASS
9C QD KD TC 7D 2H 6C JD 9D TS AS 3H JC,2,2,5,4,11,1D
AC 2H TH KD JC 9C KC 6H 7C QD JD QH AH,0,5,3,5,20,1C
8D TS 6C QH TD 9S 7D KD 3S AD JH 2H 7H,3,4,5,1,10,PASS
2D 6S TS 7D 7S 3H JD 5C JH TD QS QD 3C,4,2,5,2,6,PASS
6H 9C 5H KS 7C JC TD KH AS 3D 7H KD 6C,2,4,3,4,14,1C
2D 6C QS AH 9S 3H JS 6D 9D 7D TH 5D 4S,4,3,5,1,7,PASS
AS TH KD JH 5C 5D 9H 3H 3S JC 7S 4D AD,3,4,4,2,13,1D
TS 5D 3D JH 9D 7C 2D JD 4S KS 4H 8H 9C,3,3,5,2,5,PASS
JD QH 2C 3S 8H QS JC 4C TS 4H 6C 6H AD,3,4,2,4,10,PASS
8D 2D 8H 6H 9S 3S 7C 4S QH 3H 3C KD 3D,3,4,4,2,5,PASS
7S JS TC 2H 4H 9H AC KH TS JC KS 9S QD,5,4,1,3,14,1S
TS 8S 5H 8C 7S KC 8D QH AS 7D TH 3C QC,4,3,2,4,11,PASS
4C 5H QH KD TC 6D 2S JS 6C 7C 8D KS KC,3,2,3,5,12,1C
6H 6S 8D 9H QS 5D TS 3C 7H JS 5C AC 3H,4,4,2,3,7,PASS
TD TH 5C 9H 8H KC 7H 2D 3S KH 3D JS 6D,2,5,4,2,7,PASS
TD TS TC 7D 9S 2D 2C JD 8D 3H 4H 6D 6C,2,2,6,3,1,PASS
AC 8S 3C 6D JS 5D 7S TC 4S 5H 8H 6C 9H,4,3,2,4,5,PASS
JH TC 5S KC 3C 9H 6D 4S TS 7C 7S 7D 3H,4,3,2,4,4,PASS
7S QH QS 6H QC 2S 6S 3C 4S 8H KC AS 2H,6,4,0,3,13,1S
4C TC 9S QC 6C AD 3C 5H JS AC 5C AH 4S,3,2,1,7,15,1C
KC 6C 5S 3C 8D TH AS TC 5C JS 6D 7D 3H,3,2,3,5,8,PASS
5S 3D 7C 9S 3H AH QD 8H JC QS QH TD 3S,4,4,3,2,11,PASS
KC 5D AS 8S 5H JC JH KD QH AH 6S QD QS,4,4,3,2,22,1C
2H KH TH 4D 8C QD 9H 7C 5H 4H 3S 5S 7H,2,7,2,2,5,PASS
9D 2C AH 3H 9H 4D QC 7C 3D 7S KH 8S 2D,2,4,4,3,9,PASS
5C 6H AS TC 8H KC 4S 7D AH 6C JH 4C 7S,3,4,1,5,12,1C
JC 9C 2D AH JS 5D 4H AS 5S 5C QC 8S 3H,4,3,2,4,12,1C
4C 9H AS AC QC 4S 6C 5S TS JH 6S KC 8H,5,3,0,5,14,1S
KD AS KH TS 3H 3C AC QH KC 9D JD 4H TD,2,4,4,3,20,1C
9S QH 5H KH AS TC 3S 6H AC 5D TS QS 7S,6,4,1,2,15,1S
9S QS 5H 3S AD 5C 5S 4C 6D 2D 2H 6S TC,5,2,3,3,6,PASS
4C QD 4S JC 8H 7D TS 3C 7H 5S 9D 2C 7C,3,2,3,5,3,PASS
4H 9H AC 8S AS 7C QC 9C TS KC 2H QD QS,4,3,1,5,17,1C
7C TD 8D 8H AS AC 7D 4C 8S 7H QS JD TS,4,2,4,3,11,PASS
4C 7D 6D 7C AD 8D 7H 3H 2S TS QH KS 9H,3,4,4,2,9,PASS
2D KD 8C JC QC AD 4S QH 9H 2C JD 6D 6S,2,2,5,4,13,1D
9H 2C TS 5S 3D 3C 8C KS 2H AH 7H JH 2D,3,5,2,3,8,PASS
7H 6D 2H 9H TC 6H TH 7D 4H KS 4D QC AS,2,6,3,2,9,2D
6H 6D TH 7S QH 9S 2S AH 9C QC KS AC TC,4,4,1,4,15,1C
5D JS 4H 4D AD 4C 8H 6S 3S JH 7D 7C 6D,3,3,5,2,6,PASS
JD 3S JS JH 5D 7C 4D AD QC KD JC 6C 2H,2,2,5,4,13,1D
4D 2H 5C 2D 2S 4H JS 9D TS QS AC 8D JC,4,2,4,3,8,PASS
2D QS 9S QD AC KH TD 3S 7D 6D 4D AS 9H,4,2,6,1,15,1D
4D AH AD 9H 8H 5C 5D 7D JS 3S 3H 8S 9S,4,4,4,1,9,PASS
3C AD 5S 2H QD KH 3S 4H 4C 4S TH TS TD,4,4,3,2,9,PASS
TS 8C 3H JS 9C 7H AC 9S QC 2C 7S 5H 8S,5,3,0,5,7,PASS
JD AS 2C TD 8C 8D KC 3C 5H KD 5S 6D 2S,3,1,5,4,11,1D
KD 6C QD 8C AD 9D AH 2H 7D 4D KC 6D 8D,0,2,8,3,16,1D
8D 5D 2H JC QH 5S JD 3C 7H 2C 5H 2S JH,2,5,3,3,5,PASS
6H 7S 7H 2H QH 6S 4S AC QC 6D TC AS QS,5,4,1,3,14,1S
7S QC 8C AD 5C TC 3D 7H AS 2S 2D 9H 3S,4,2,3,4,10,PASS
7S 8H AC 6C 7D 4H 4D 8D AH JC 5H 6H 6D,1,5,4,3,9,PASS
QD 3H 7H 7C 8S 2S KH JS AH 4D 9D TS 4S,5,4,3,1,10,2C
7D 2S 2C KS TH 9C 9H 6D 5S 4D QC TD 2D,3,2,5,3,5,PASS
3D TH 8C KC QD QC 4C 2D KD 4H JS 5H 6C,1,3,4,5,11,1D
8D JD 8C 4D QC KS KH 4H 5C 7H AH KC TD,1,4,4,4,16,1D
TS 3S 4H JC KD 7S KH 3C QC 6D 3D 4S 6C,4,2,3,4,9,PASS
TS AC AD JH JC 2S 3S 2C 6S 8S 3C 2D QS,6,1,2,4,12,1S
TH 3D 8C QS 5D QH 8S AD TD 5S TS 7H JD,4,3,5,1,9,PASS
4D 7D TH QH 3S QD TS 9C KS 9D 7S 9S JC,5,2,4,2,8,PASS
KC 8D AH KS 5D 5C JD JH QS 2S KH QC AS,4,3,3,3,23,1C
3S 3D QD 8C JD 9D KD JC 6C TC QC 7C KC,1,0,5,7,12,1D
9D 3S 6S 9S 4C 5S 7C 5D JD TD 9C 3H 5H,4,2,4,3,1,PASS
QH AD KC 8H AS 2C 4H 9C JH 8C 2D AC TS,2,4,2,5,18,1C
6C AH 2H JH 8C TC 4C 5S KD 2S JC 9D 3H,2,4,2,5,9,PASS
JD 4C KC 2H 7C 5C 8C 4S 5S 2C 7H QC 5D,2,2,2,7,6,PASS
QH 7S JD 6S KS JS TH 4D 4C TS 2S 9D 8H,6,3,3,1,7,2D
6S AD AC 8S 4D 4C 8D 3H JH 3S JS TH JD,4,3,4,2,11,PASS
KH 9S AH 2D 8H KS 3D QH 8D 9D 7H 9H 6C,2,6,4,1,12,1H
9H JS 9S KH 4S TC 9C AC 3H 6D 7C QS 8H,4,4,1,4,10,PASS
5H 5S TS 7H 3S 3D KH AD KD AC AH 9D 8C,3,4,4,2,18,1C
9S 8C 7C 8H JS TS 6H 7H 3S JH 3D AH 3C,4,5,1,3,6,2C
JS TH 7H 5C 8S JC 8C 7D AC AS TS 7C JD,4,2,2,5,11,1C
JD AC 2C 3H 9S JC TH JH 4C QC KS 3D 7H,2,4,2,5,12,1C
6C KC 5D QH TS QC AH KD 3H 5S QS 2H QD,3,4,3,3,18,1C
5C 6H TH 4H QD 3H KD 4D JD 3D 2C AD 4C,0,4,6,3,10,1D
7C 5C KD JD 3S 2D QD QH 8D 9H 9C 2H 6H,1,4,5,3,8,PASS
QS 7S QH 6C QD 2H 9C KC JH QC 5S TC 4S,4,3,1,5,12,1C
8D 2S 7H 3C 9H 6H AH QD 9S 5S JD KH 7S,4,5,3,1,10,2C
AC AS TS JC JH 3D QS 5C 2C 8D 5D 2H 6S,4,2,3,4,12,1C
9C AC AS 4S TD QD KH 5D 6S 7D 5S QS TH,5,2,4,2,15,1S
9H 3H KS 9D QH KD 3S 6H 2C 5C QC AH TS,3,5,2,3,14,1H
KS 3H 5S AS 7S AD 2S 2H 2C 4C QS 5C QD,6,2,2,3,15,1S
8H 2S 4D 8C JS 4C KH QS 2D 5S 3S 7D AH,5,3,3,2,10,PASS
QC 5D 7D 5H 2D 2H JS 5S 7H 3S 3C 2C 8H,3,4,3,3,3,PASS
QD 5H 6H 2C QC AC JD TH 7C KS 8D KH QS,2,4,3,4,17,1NT
KD JH 7C JC 8S 9D 9C 4S KC KH 7D TC 5C,2,2,3,6,11,1C
JC QS 9H 9S 3S 5C 3H KH AH KC 5D 9C 6S,4,4,1,4,13,1C
9C 8C QS 6S KC QH 2S 3S 7D 5H 7C 3H KD,4,3,2,4,10,PASS
9H 4C 9C QC 7C 6H JH 6D 2C 2H AS 9D 2D,1,4,3,5,7,PASS
5D 7H 3D 3S 3H 2C 4S 6S 4H 9C JH AD QD,3,4,4,2,7,PASS
TD 8D QH 4D AH AS 9C 7C 3C 6D 6H 3D 2S,2,3,5,3,10,PASS
9S 4H 3S 6C 7S 8S 4C KH 2H 5D TC 9D 5S,5,3,2,3,3,PASS
5S 6S 6H 9D 6D 2C JS 3H 5D TH 8D TC 3D,3,3,5,2,1,PASS
AD 4H AH 8H 7C JD 4S 9S 9D 6S 7D 5D 5H,3,4,5,1,9,PASS
6H 5C AH QC 9C AD KD 6C 4C 5D 9H TS KH,1,4,3,5,16,1C
3H KC AH 5S QS KS TC JC 2C 2D 8C 5C 7H,3,3,1,6,13,1C
8C 9D QH 6S TD 4C QD KC 3S 7H 7D 6D 5D,2,2,6,3,7,PASS
QD 2S 6C 2D AS 9D 8C JC 3S 4H 9S AH 8H,4,3,3,3,11,PASS
JH QD 8S TD 7C 9S 6D KD 2H QC 7D 5D QH,2,3,6,2,10,PASS
7S 7D TD QC 8D 2H AC 4H 5C TC 6H 3S QS,3,3,3,4,8,PASS
7S 9C 9H 6H 3C 9S JS 6D QS 4D 3S 5C 3H,5,3,2,3,3,PASS
2C 7D 7S 6S TS QS 3D 8S 4C QD KD AH 3S,6,1,4,2,11,1S
6C 4H 2S KD 5C 2H 8S AD 6D TH KC KS QH,3,4,3,3,15,1NT
AC 8H 9D AD 8D 2S JH KS 3D 3C 5C 2H 6H,2,4,4,3,12,1D
9H 5H 9D QD 7D AD 6H TH 4C KD KH 6C KC,0,5,5,3,15,1H
JD 4C 7D QS JH AC 2D JS AD 7H 5D 2C KC,2,2,5,4,16,1D
JH 5H TH TC 9D JS QH JC 5S 3D TS 9C 7D,3,4,3,3,5,PASS
TH 3C JD 5C AS QS JH QD 4S 8C 2H 8D 6H,3,4,3,3,10,PASS
4D JH KD AC TD TH KS AS 3C 8D 6H 7D JS,3,3,5,2,16,1NT
9D QS AC 6C 4S 4H TC 6S AH JC 7H 9H 3D,3,4,2,4,11,PASS
KD TH 4S TC 4D 3S 6S 5S 3D KH AC KC 9H,4,3,3,3,13,1C
6H TH KS 3H TS 7D 8D 6S 5S KC 8H 4S QS,6,4,2,1,8,2C
TC 3C 5D AS 3D 5S 2S 8D 4S 8H 2C 9C QH,4,2,3,4,6,PASS
7D QS 6C 9D 3D AS 7C 4D 7H QD KS 9C QH,3,2,5,3,13,1D
5S 7D QD AD QC 8C 6D 4D AS 2C AH TD JC,2,1,6,4,17,1D
JC AS TH 8C QD 9S 6H 4D 5S 7H 2C 7D 7C,3,3,3,4,7,PASS
5D 5C 4C 4S 3D 8C 2S 5H 3C 8S TD TC QD,3,1,4,5,2,PASS
TC TS 2H KH 6S 3D 3H 6C TD AH KS 5C 9S,4,4,2,3,10,PASS
AH 7C 8S 2D QS KS 2C AD 3C 9S JH TD KC,4,2,3,4,17,1NT
6C AC 7C AS 7S JH KS AH 8D JS QD 9S 8C,5,2,2,4,19,1C
9S 2C 9C 4D JS 3S AH 9H 5S 8C JD TS 9D,5,2,3,3,6,PASS
QC 3H 9C 5C 8H TC KC KS 8D 9S QD AS 4D,3,2,3,5,14,1C
3C 9H 6C 2S 3S TH 6D TC 9S TD QC 5S 8H,4,3,2,4,2,PASS
3S QD 9D QS KD 8S 7S 4C 6S 6C 7C JC 3C,5,0,3,5,8,PASS
8D QD JD 6H 2H TS JH 9D QS 5D 4C 5C KH,2,4,5,2,9,PASS
2S JC 2D 3D AD 6H TS 9H 5H 5C 2C 7D JS,3,3,4,3,6,PASS
AH 4D QD JS TD AC 8H 2C JD TH 9H 2D 5D,1,4,6,2,12,1D
AC JH 8H 4H 2D 3D 6S 5H 7S 8C AH 8D 7C,2,5,3,3,9,PASS
AC 2C TD TH 5H 5S 6C 7S JS TC 4D AH QC,3,3,2,5,11,PASS
TS QD 8H QH 3S QC 8S 6C JD JS 4D 2C 4S,5,2,3,3,8,PASS
4C JC 3D 5D AH 2D 6H 5C AD JS TD JD 8S,2,2,6,3,11,1D
6H QS AH TC JH QC KH JC 9H 4S 3C TH KC,2,6,0,5,16,1H
6D 2D 7D 8H KS 3S 5H AC 3D QC 7S TS 7C,4,2,4,3,9,PASS
AD 7D 4C QH KD 8H 7H JD 9S 8C 7S AS QS,4,3,4,2,16,1NT
4D 3D KC KS AD 2D AS TS 3S 6H 3H JS 2S,6,2,4,1,15,1S
2H 5D QS 2S JS 6C KC 7C TH 3H 6D JC 7D,3,3,3,4,7,PASS
8H 9H 4H 3S 7D 8S KD AD 4C 2C 3H 5S AS,4,4,3,2,11,PASS
2H JH 2C AD 9D 4H TS TH TC 2D QH AC JC,1,5,3,4,12,1H
8S 8D KC AC AS JH 6S 9H 9D 3H 6H 2D 2S,4,4,3,2,12,1C
AH QS KC TS 2H QH 6D TC 9D TH AS 8S 7C,4,4,2,3,15,1NT
9D 2D 3H QH TS TD 5D AC 6C JH KC QS QD,2,3,5,3,14,1D
5D TC JD KH 2H AC 3S 7C 9D 2D QH QS 8C,2,3,4,4,12,1D
AH AC 5S 7C JD 2D 6S 8D 5D TS 3H KC 4S,4,2,4,3,12,1D
2H TC 4S 7H 6D 8H 3S TS 3D 9D 2D 3H 9S,4,4,4,1,0,PASS
JC 6D 2H 2C AH 4H QH QC 5C 6S 9D 4C 3C,1,4,2,6,9,PASS
KC 5S 4C 6H 7C AD 8S 6D 3S JH KS 6S 2S,6,2,2,3,11,1S
JS 9C QC TH 2D KS AH JC 9H TC AD 6C 3C,2,3,2,6,15,1C
3S 3D TH AH JS 9D QD 7H KC AD 6D 4C 2C,2,3,5,3,14,1D
TH 3C 7H 4D AH QH 6H 2H 9S 5S JD JS TS,4,6,2,1,8,2C
2H 4S KD QD 5S 4C QC 9H TS AD 5C 6C 7S,4,2,3,4,11,PASS
AS 4S 8D 8H KH JH 4H 3D 5H 4C AC AH 3C,2,6,2,3,16,1H
5S 5D 2H AS QD KC 2S KD 6H 9D TS AD 8C,4,2,5,2,16,1D
2S JS 5H KC 2H 7S 6D AC 4H 9H TD 9D 6H,3,5,3,2,8,PASS
QS 2C 4D 5H 3H 8H 6S 2S JD 6D 5S 8S 7D,5,3,4,1,3,PASS
7C TS AH QC 7D QH 2C 9C 6S 3S JH 3D 9S,4,3,2,4,9,PASS
JS 5C 6S 9S 2C 2D JH KC 3D 5D QS QH TH,4,3,3,3,9,PASS
JD AC 5S 9S QD 5D 9H JS 4D JC 7C 8C 3H,3,2,4,4,9,PASS
8D 6D 5C 5D KH AS TD QH 3C JC 6H KD 5S,2,3,5,3,13,1D
5H QD 7C TD 4C 2S TS KH KC 6D AD 5D 2H,2,3,5,3,12,1D
2H 8C 8S 9D 7H 4D 7S 2C QH 4S JS 7D JH,4,4,3,2,4,PASS
4D 4H 7H QH JC 5D JS 7D QD JD 5C 4C 5H,1,4,5,3,7,PASS
TC 4C JS JH 5S 7C 7D 8H AS 4S QC 7H 9H,4,4,1,4,8,PASS
3S 6S QD TD 7C 6D JC 3D 5C 2C QH 5S 9C,3,1,4,5,5,PASS
5D TD KH 5C 8H KS 8S 9C QS 5H 8C TH 4H,3,5,2,3,8,PASS
3S 6C 8D TS 6D 4D KD 5S 2C 2H 3H 7H AC,3,3,4,3,7,PASS
KS 7D JS 3S 4H 3D 3C 3H AC 7C KH JC AS,4,3,2,4,16,1NT
5C 5S 4C KD 2D 3H 8H QC 7D 5H JS 9S KH,3,4,3,3,9,PASS
TS JD 7D 7H 2H 3D 3H JH 5H 8C 2S 6D 9S,3,5,4,1,2,PASS
QS 3S 5D QC 9H 8C 2C 3D 8S 9C TD 6D AC,3,1,4,5,8,PASS
5H 7C 9C 4S 6H KC TH AS JC 7D 3H 2S QD,3,4,2,4,10,PASS
3C TS KH KD 2D 3D 4D QD 8C 5S JC 3H AS,3,2,5,3,13,1D
AC 8C 2D 5C KC TC KH QC 6C 7C 8H KD QD,0,2,3,8,17,1C
4C 9S 8S 9H 3H 6H AS 2D 4S 9D TS AH TD,5,4,3,1,8,2C
4D 8H 2H QS JD 4H 5S 6D 5H 8C 8S TD 9C,3,4,4,2,3,PASS
QH 4C 5C KC TS 2S 3C 3S KS AD QS 3H 9H,5,3,1,4,14,1S
AH 3S 7D 4D 4H JS 6C TS AD AS TH 3H 5C,4,4,3,2,13,1C
8D JS KD AS 4C 3H 2S 8C 5S 9C 5C 4S 2H,5,2,2,4,8,PASS
TH TS 9H 3C KH 5D AS AH QD 5S KS 3D 5C,4,4,3,2,16,1NT
AD 8H 5S 6C JS JD 8S KS JH 4S 8C 7D 2H,5,3,3,2,10,PASS
7C 4S AD 6H QD 3S TS 4H 2D 7S 7D QC 9S,5,2,4,2,8,PASS
9S 3H AC 8S 9C KH 5H 3S TS 6C 3C QS TC,5,3,0,5,9,PASS
JS JC 3H 7S QC QH JH 7D 2D 7H KH 6H 8H,2,7,2,2,10,PASS
3S 6H AH KC 9H TS JC QS 7D 5H 7C 4D 2H,3,5,2,3,10,PASS
KC AH 3S 4D 5C 3H KD 9S 8D JH 4S 6S 7H,4,4,3,2,11,PASS
9H KD 6D KS TH 4D JD 3D 6S 9D 7S 5D 6H,3,3,7,0,7,PASS
8S QS 5H 8C 9H 9C 6D KD 6H 3C 5S 7D KH,3,4,3,3,8,PASS
TH AC 2C 9C 3C 4D 5C 2S 2H AS 6C QH QD,2,3,2,6,12,1C
